ID,Start time,Completion time,Email,Name,Last modified time,GENDER ,AGE RANGE,DURATION OF EMPLOYMENT ,(a)I understand RBA's strategic goals ,(b) I understand how my roles meets the Authority’s objectives ,(a) Teamwork/good cooperation between employees at RBA ,"(b) Adequacy, timeliness, and clarity of communication at RBA ",(c) Extent to which upward communication is encouraged at RBA ,(d) How well do HODs demonstrate strong leadership skills ,(e) The relationship with your supervisor ,(f) The balance between your work life and personal life ,(g) Fairness and Justice towards administering policies concerning employees at RBA ,(h) Match between the job you do with your qualifications and knowledge ,(i) How job promotions are carried out at RBA ,(j) Recruitment and Talent Acquisition,(k) Staff Disciplinary Procedures ,(l) Internal Conflict Resolution Procedures ,(m) Performance Management Framework  ,(n) Training opportunities availed to you ,"(o) Compensation (pay, Salary & rewards) ",(p) Employee benefits and  welfare,(q) Workload at RBA ,"Which specific areas do you suggest that RBA should put more emphasis on, in promoting the satisfaction of its employees? ",Do you have all the tools and resources needed for your job at RBA?,Specify the tools or resources you lack,(a) Adequate measures are in place to ensure employee safety at RBA ,(b) Adequate measures are in place to ensure the security of both staff and the organization's assets,(c) Suitability of RBA’s workspaces/workstations in facilitating work performance ,(d) Adequacy and quality of stationery for work performance ,"(e) Adequacy and comfort of seats, desks, and other furniture at RBA ","(f) Adequacy of amenities provided e.g., drinking water, kitchen, bathroom, parking ","(g) Adequacy of communication facilities e.g., emails, telephone lines, and extensions ","(h) Suitability of the common areas e.g., reception, boardroom, and waiting rooms ",(i) Availability and sufficiency of vehicles for official use ,"Are there any specific features or functionalities you feel are lacking in the current information systems, network, and infrastructure at RBA? ",Which features or functionalities are missing?,(a) Usability of the company's information systems for your daily tasks,(b) Reliability of the company's information systems in terms of uptime and performance,(c) Responsiveness and technical support when you encounter issues with the information systems,(d) The training and resources provided for using the information systems effectively,(e) The security measures implemented in the company's information systems for protecting sensitive data,(f) Availability of desktop computers and laptops for work-related duties,"(a) When I’m at work, I am completely focused on my job duties ","(b) At work, I have the opportunity to do what I do best everyday","(c) Compared to other companies that I know, RBA is one of the best companies to work for  ",(d) I am willing to go out of my way to get my work done and achieve my objectives,(e) I am encouraged to initiate change when I see a better way of doing things,(f) At work my opinions seem to count,(g) At work there is someone who encourages my development ,Do you plan to be working for RBA in the next 3-5 years ,"What key factors would encourage you to remain at RBA for the long term?
",(a) I understand what my job entails in my current position ,(b) I have the skills required for my current job position. ,(c) Management is preparing employees for future leadership roles ,(d) New hires are effectively hired and onboarded to the team ,(e) My department is adequately staffed ,(f) There is a strong pipeline of talent in my department ,What skills do you think you require in the next 3- 5 Years? ,Do you experience any knowledge and skills-related challenges in carrying out your duties and responsibilities? ,"Please list any duties and responsibilities that are difficult to perform due to your inadequate knowledge and skills? 
",What other challenges (non-skills and knowledge related) affect the performance of your duties and responsibilities? ,(a) Fairness,(b) Integrity,(c) Agility,(d) Team Spirit,(e) Customer Focus,(f) Analytical Thinking,Would you say that you are ready for an appointment to a higher position at RBA?,Why do you feel that you are not ready for appointment to a higher position at RBA,There are individuals ready to assume higher level responsibilities in my department,"(a) RBA involves staff during strategy planning, development, and implementation",(b) My performance objectives and targets are clear and aligned with the Departmental and Corporate objectives,"(c) RBA’s Human Resource Policies, organization structure, and career guidelines support the delivery of the Authority’s mandate","(d) RBA has a well-designed performance management framework used for establishing individual performance expectations, evaluation, and recognition",(e) RBA offers cross-training of employees to enhance their readiness for different roles,(f) I have all the information I need to take up responsibilities at a higher level,(g) RBA has a clear approval and reporting procedures which are adhered to ,"How likely are you to recommend RBA as a great place to work to a friend or colleague? 
 (Scale: 0 = Not Likely at All, 10 = Extremely Likely)"
2,6/4/25 12:27:00,6/4/25 12:41:30,anonymous,,,Male ,30-39,More than 10 years,2. Disagree,4. Agree,1. Highly Dissatisfied,2. Dissatisfied,3. Neutral,1. Highly Dissatisfied,3. Neutral,5. Highly Satisfied,1. Highly Dissatisfied,5. Highly Satisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,3. Neutral,2. Dissatisfied,3. Neutral,1. Highly Dissatisfied,4. Satisfied,3. Neutral,5. Highly Satisfied,"They should implement recommendations from previous reports on surveys, team buildings, culture etc",No,Goodwill and financial resources ,2. Dissatisfied,4. Satisfied,2. Dissatisfied,2. Dissatisfied,4. Satisfied,1. Highly Dissatisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,No,,4. Satisfied,4. Satisfied,5. Highly satisfied,3. Neutral,4. Satisfied,4. Satisfied,3. Neither Agree nor Disagree,4. Agree,2. Disagree,4. Agree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,No,,5. Strongly Agree,3. Neither Agree nor Disagree,1. Strongly Disagree,1. Strongly Disagree,3. Neither Agree nor Disagree,4. Agree,It wouldn't matter to the management,Yes,the information gathers dust in the TNAs,,3. Sometimes,5. Always,3. Sometimes,3. Sometimes,5. Always,5. Always,No,Because they are not ready for people who think differently from them,3 Neutral ,4. Agree,4. Agree,1. Strongly Disagree,2. Disagree,1. Strongly Disagree,5. Strongly Agree,3. Neither Agree nor Disagree,2
3,6/4/25 12:27:42,6/4/25 12:43:17,anonymous,,,Male ,30-39,Less than 5 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,3. Neutral,4. Satisfied,4. Satisfied,5. Highly Satisfied,Provide more international trainings to all staff,Yes,,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,Yes,Laptops are not sufficient,4. Satisfied,4. Satisfied,3. Neutral,3. Neutral,3. Neutral,2. Dissatisfied,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Yes,Opportunities to learn and grow,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Supervisory and management skills ,No,,,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,10
4,6/4/25 12:40:26,6/4/25 12:55:08,anonymous,,,Female,51-60,Between 5 and 10 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,2. Dissatisfied,3. Neutral,2. Dissatisfied,2. Dissatisfied,4. Satisfied,2. Dissatisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,2. Dissatisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,Ensure fairness and equity in allocation of training opportunities; Healthy dialogue between Supervisors and their juniors.uniors,Yes,,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,No,,4. Satisfied,4. Satisfied,5. Highly satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Agree,4. Agree,4. Agree,2. Disagree,2. Disagree,1. Strongly Disagree,3. Neither Agree nor Disagree,Yes,Benefits and the fact that I like my job,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,Supervisory skills; Emotional intelligence skills; ,No,,Toxic work environment,5. Always,5. Always,5. Always,5. Always,5. Always,4. Often,Yes,,,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,2. Disagree,5. Strongly Agree,4. Agree,6
5,6/4/25 12:55:13,6/4/25 13:04:31,anonymous,,,Male ,30-39,Less than 5 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,4. Satisfied,2. Dissatisfied,4. Satisfied,3. Neutral,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,3. Neutral,5. Highly Satisfied,3. Neutral,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,"A gym would do to enhance fitness.If not possible,let's have at least a shower and changing room.",No,Laptop ,2. Dissatisfied,4. Satisfied,2. Dissatisfied,4. Satisfied,2. Dissatisfied,4. Satisfied,3. Neutral,5. Highly Satisfied,5. Highly Satisfied,No,,4. Satisfied,4. Satisfied,2. Dissatisfied,4. Satisfied,5. Highly satisfied,1. Highly dissatisfied,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,2. Disagree,3. Neither Agree nor Disagree,4. Agree,Yes,Employee welfare ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,Audit skills,No,,,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,10
6,6/4/25 12:57:12,6/4/25 13:08:41,anonymous,,,Female,30-39,Less than 5 years,4. Agree,5. Strongly Agree,1. Highly Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,3. Neutral,1. Highly Dissatisfied,1. Highly Dissatisfied,5. Highly Satisfied,1. Highly Dissatisfied,4. Satisfied,2. Dissatisfied,1. Highly Dissatisfied,3. Neutral,1. Highly Dissatisfied,2. Dissatisfied,4. Satisfied,1. Highly Dissatisfied,Fairness in opportunities outside the office,No,Laptop and Telephone Extension,3. Neutral,3. Neutral,2. Dissatisfied,4. Satisfied,3. Neutral,4. Satisfied,1. Highly Dissatisfied,2. Dissatisfied,1. Highly Dissatisfied,Yes,Safaricom Network and Internet Connection,4. Satisfied,4. Satisfied,2. Dissatisfied,1. Highly dissatisfied,4. Satisfied,1. Highly dissatisfied,4. Agree,3. Neither Agree nor Disagree,2. Disagree,4. Agree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,Yes,Loan Benefits,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,Leadership Training,No,,Laptop,5. Always,4. Often,3. Sometimes,3. Sometimes,4. Often,5. Always,Yes,,,4. Agree,4. Agree,2. Disagree,2. Disagree,1. Strongly Disagree,1. Strongly Disagree,3. Neither Agree nor Disagree,4
7,6/4/25 12:43:20,6/4/25 13:10:07,anonymous,,,Female,20-29 ,Less than 5 years,5. Strongly Agree,5. Strongly Agree,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,3. Neutral,5. Highly Satisfied,3. Neutral,5. Highly Satisfied,5. Highly Satisfied,3. Neutral,,,4. Satisfied,4. Satisfied,4. Satisfied,"Offering convenient transport options from/to the office to/from town and providing access to an office gym. These benefits would support both physical health and daily convenience, contributing to overall job satisfaction.",Yes,,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,3. Neutral,No,,4. Satisfied,4. Satisfied,5. Highly satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Yes,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,"Leadership & Management
Artificial Intelligence
Big Data Analytics",No,,,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,10
8,6/4/25 12:27:44,6/4/25 13:11:29,anonymous,,,Male ,51-60,More than 10 years,5. Strongly Agree,5. Strongly Agree,3. Neutral,3. Neutral,3. Neutral,3. Neutral,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,Practice fairness across to all staff,Yes,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,Yes,WIFI and internet access not adequate,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,2. Dissatisfied,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,Yes,Job security,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,Skills in pension administration,No,,None,5. Always,5. Always,4. Often,5. Always,5. Always,4. Often,Yes,,,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,4. Agree,3. Neither Agree nor Disagree,5
9,6/4/25 12:59:45,6/4/25 13:17:15,anonymous,,,Male ,51-60,More than 10 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,Promotion to the next level only for those qualify to move ( minimum qualification ),Yes,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,No,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,Yes,Good pension & other benefits ,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,none,No,,none,4. Often,4. Often,4. Often,4. Often,4. Often,4. Often,Yes,,,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,8
10,6/4/25 13:01:11,6/4/25 13:22:51,anonymous,,,Male ,30-39,Less than 5 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,2. Dissatisfied,3. Neutral,4. Satisfied,2. Dissatisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,2. Dissatisfied,2. Dissatisfied,2. Dissatisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,2. Dissatisfied,3. Neutral,"Equity, balanced roles and promotions ",Yes,,3. Neutral,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,Yes,Laptop,4. Satisfied,4. Satisfied,1. Highly dissatisfied,2. Dissatisfied,3. Neutral,1. Highly dissatisfied,5. Strongly Agree,5. Strongly Agree,2. Disagree,4. Agree,4. Agree,4. Agree,4. Agree,Yes,Great renumeration ,4. Agree,4. Agree,1. Strongly Disagree,4. Agree,3. Neither Agree nor Disagree,4. Agree,Administration and pension supervision ,Yes,Management ,Culture,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,9
11,6/4/25 13:13:47,6/4/25 13:27:11,anonymous,,,Female,51-60,More than 10 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,5. Highly Satisfied,3. Neutral,2. Dissatisfied,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,3. Neutral,2. Dissatisfied,2. Dissatisfied,4. Satisfied,fairness on perdiem between junior staff and the rest of the staff leaves a lot to be desired ,Yes,,4. Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,3. Neutral,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,No,,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,4. Satisfied,5. Highly satisfied,4. Satisfied,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,4. Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,Yes,The Rba Mandate,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,psychology,No,,there isn't a psychosocial section in the authority,5. Always,5. Always,5. Always,5. Always,5. Always,4. Often,Yes,,,3. Neither Agree nor Disagree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4
12,6/4/25 14:25:32,6/4/25 14:33:26,anonymous,,,Female,20-29 ,Between 5 and 10 years,5. Strongly Agree,5. Strongly Agree,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,More training opportunities,Yes,,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,No,,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Yes,PROMOTION ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Financial background skills,No,,awareness of new amendments coming in the industry,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,10
13,6/4/25 14:09:52,6/4/25 14:37:01,anonymous,,,Male ,51-60,More than 10 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,3. Neutral,3. Neutral,5. Highly Satisfied,3. Neutral,5. Highly Satisfied,4. Satisfied,4. Satisfied,Training,Yes,,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,No,,5. Highly satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,Yes,job stability,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,Interpreting AI,No,,Staff morale,4. Often,4. Often,5. Always,4. Often,4. Often,4. Often,Yes,,,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,10
14,6/4/25 15:46:35,6/4/25 16:33:39,anonymous,,,Male ,20-29 ,Less than 5 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,3. Neutral,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,More skill specific trainings,No,"calenders, writing material, powerful computer",4. Satisfied,4. Satisfied,4. Satisfied,2. Dissatisfied,1. Highly Dissatisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,3. Neutral,Yes,VPN Access,5. Highly satisfied,4. Satisfied,5. Highly satisfied,4. Satisfied,5. Highly satisfied,1. Highly dissatisfied,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,Yes,,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,"AI, Cybersecurity",No,,,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,3. Neither Agree nor Disagree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,4. Agree,10
15,6/4/25 17:33:07,6/4/25 17:58:35,anonymous,,,Female,40-50,More than 10 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,3. Neutral,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,Appreciating staff experience and skills.  Not just papers.,Yes,,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,Yes,resolution for staff to be printing using white and black color.  It is a challenge because some official documents must be printed in color.  ICT to consider giving rights for such. ,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Agree,3. Neither Agree nor Disagree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,Yes,"work environment, medical cover, pension benefits, good salary, staff relationships",3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,Financial Management and Asset Management Skills,No,,"When information sharing is limited causing people in one department to work in silos, this fails in achieving the synergy expected among multiskilled individuals. ",5. Always,5. Always,4. Often,4. Often,4. Often,4. Often,Yes,,,3. Neither Agree nor Disagree,4. Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,4. Agree,4. Agree,10
16,6/4/25 17:48:10,6/4/25 18:01:36,anonymous,,,Male ,30-39,Between 5 and 10 years,5. Strongly Agree,5. Strongly Agree,2. Dissatisfied,4. Satisfied,2. Dissatisfied,3. Neutral,1. Highly Dissatisfied,3. Neutral,4. Satisfied,4. Satisfied,3. Neutral,3. Neutral,2. Dissatisfied,2. Dissatisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,2. Dissatisfied,"Some managers are so tribalistic, see others as lesser beings. ",Yes,,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,No,,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,3. Neither Agree nor Disagree,No,Pension and prmf benefits ,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,4. Agree,4. Agree,Data analysis and machine learning ,No,,Unsupportive supervisor or manager,5. Always,5. Always,5. Always,5. Always,5. Always,4. Often,Yes,,,5. Strongly Agree,4. Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,5. Strongly Agree,2. Disagree,10
