ID,Start time,Completion time,Email,Name,Last modified time,GENDER ,AGE RANGE,DURATION OF EMPLOYMENT ,(a)I understand RBA's strategic goals ,(b) I understand how my roles meets the Authority’s objectives ,(a) Teamwork/good cooperation between employees at RBA ,"(b) Adequacy, timeliness, and clarity of communication at RBA ",(c) Extent to which upward communication is encouraged at RBA ,(d) How well do HODs demonstrate strong leadership skills ,(e) The relationship with your supervisor ,(f) The balance between your work life and personal life ,(g) Fairness and Justice towards administering policies concerning employees at RBA ,(h) Match between the job you do with your qualifications and knowledge ,(i) How job promotions are carried out at RBA ,(j) Recruitment and Talent Acquisition,(k) Staff Disciplinary Procedures ,(l) Internal Conflict Resolution Procedures ,(m) Performance Management Framework  ,(n) Training opportunities availed to you ,"(o) Compensation (pay, Salary & rewards) ",(p) Employee benefits and  welfare,(q) Workload at RBA ,"Which specific areas do you suggest that RBA should put more emphasis on, in promoting the satisfaction of its employees? ",Do you have all the tools and resources needed for your job at RBA?,Specify the tools or resources you lack,(a) Adequate measures are in place to ensure employee safety at RBA ,(b) Adequate measures are in place to ensure the security of both staff and the organization's assets,(c) Suitability of RBA’s workspaces/workstations in facilitating work performance ,(d) Adequacy and quality of stationery for work performance ,"(e) Adequacy and comfort of seats, desks, and other furniture at RBA ","(f) Adequacy of amenities provided e.g., drinking water, kitchen, bathroom, parking ","(g) Adequacy of communication facilities e.g., emails, telephone lines, and extensions ","(h) Suitability of the common areas e.g., reception, boardroom, and waiting rooms ",(i) Availability and sufficiency of vehicles for official use ,"Are there any specific features or functionalities you feel are lacking in the current information systems, network, and infrastructure at RBA? ",Which features or functionalities are missing?,(a) Usability of the company's information systems for your daily tasks,(b) Reliability of the company's information systems in terms of uptime and performance,(c) Responsiveness and technical support when you encounter issues with the information systems,(d) The training and resources provided for using the information systems effectively,(e) The security measures implemented in the company's information systems for protecting sensitive data,(f) Availability of desktop computers and laptops for work-related duties,"(a) When I’m at work, I am completely focused on my job duties ","(b) At work, I have the opportunity to do what I do best everyday","(c) Compared to other companies that I know, RBA is one of the best companies to work for  ",(d) I am willing to go out of my way to get my work done and achieve my objectives,(e) I am encouraged to initiate change when I see a better way of doing things,(f) At work my opinions seem to count,(g) At work there is someone who encourages my development ,Do you plan to be working for RBA in the next 3-5 years ,"What key factors would encourage you to remain at RBA for the long term?
17,6/4/25 18:46:05,6/4/25 19:03:52,anonymous,,,Female,40-50,More than 10 years,5. Strongly Agree,5. Strongly Agree,3. Neutral,3. Neutral,3. Neutral,3. Neutral,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,4. Satisfied,4. Satisfied,5. Highly Satisfied,3. Neutral,Strict adherence to policies!,Yes,,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,No,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Agree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,3. Neither Agree nor Disagree,Yes,Work benefits and passion for the work I do,4. Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,Communication skills,No,,None for now,5. Always,5. Always,4. Often,5. Always,5. Always,4. Often,Yes,,,3. Neither Agree nor Disagree,4. Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,5. Strongly Agree,4. Agree,7
18,6/4/25 19:59:13,6/4/25 20:12:55,anonymous,,,Female,30-39,Less than 5 years,4. Agree,5. Strongly Agree,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,3. Neutral,4. Satisfied,5. Highly Satisfied,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,3. Neutral,Flexible work hours..for example if one stays late in the office,No,A good laptop ,4. Satisfied,5. Highly Satisfied,4. Satisfied,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,Yes,Yes. The internet is always lagging. ,4. Satisfied,4. Satisfied,5. Highly satisfied,4. Satisfied,4. Satisfied,2. Dissatisfied,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,Yes,The opportunity for growth and the culture of the workplace ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,"How to effectively use AI

Leadership and people management- SMC &SLDP
",No,,Work life balance,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,8
19,6/5/25 12:55:20,6/5/25 12:57:28,anonymous,,,Female,51-60,More than 10 years,1. Strongly Disagree ,1. Strongly Disagree ,1. Highly Dissatisfied,2. Dissatisfied,2. Dissatisfied,2. Dissatisfied,2. Dissatisfied,2. Dissatisfied,1. Highly Dissatisfied,3. Neutral,1. Highly Dissatisfied,1. Highly Dissatisfied,2. Dissatisfied,1. Highly Dissatisfied,3. Neutral,1. Highly Dissatisfied,2. Dissatisfied,4. Satisfied,2. Dissatisfied,"Leadership training, HR policies and procedures not followed, compromised SRC, Gender inequality and heavily male favoured and driven organisation.",No,Training.,3. Neutral,3. Neutral,2. Dissatisfied,3. Neutral,4. Satisfied,2. Dissatisfied,5. Highly Satisfied,5. Highly Satisfied,1. Highly Dissatisfied,Yes,"Inadequate network provision, lack of ICT Equipment.",4. Satisfied,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,1. Highly dissatisfied,3. Neither Agree nor Disagree,2. Disagree,2. Disagree,5. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,Yes,Fairness,4. Agree,3. Neither Agree nor Disagree,1. Strongly Disagree,1. Strongly Disagree,4. Agree,4. Agree,Good skills.,No,,None,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,4. Agree,4. Agree,4. Agree,2. Disagree,1. Strongly Disagree,1. Strongly Disagree,2. Disagree,3
20,6/5/25 14:51:26,6/5/25 15:05:37,anonymous,,,Female,30-39,Less than 5 years,4. Agree,5. Strongly Agree,5. Highly Satisfied,4. Satisfied,4. Satisfied,3. Neutral,5. Highly Satisfied,4. Satisfied,3. Neutral,4. Satisfied,2. Dissatisfied,3. Neutral,2. Dissatisfied,2. Dissatisfied,3. Neutral,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,Offer more training opportunities with international exposure,No,A working laptop. The current one is slow and the battery cannot work without the charger being connected.,3. Neutral,3. Neutral,4. Satisfied,5. Highly Satisfied,3. Neutral,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,No,,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,3. Neutral,2. Dissatisfied,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,Yes,Be employed on permanent and pensionable terms,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,4. Agree,3. Neither Agree nor Disagree,"Supervisory skills
Electronic Document Management System skills",No,,Not having a records management system to reduce the time for completing tasks,5. Always,5. Always,5. Always,5. Always,5. Always,4. Often,Yes,,,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,9
21,6/5/25 15:33:58,6/5/25 15:58:06,anonymous,,,Female,30-39,Between 5 and 10 years,4. Agree,5. Strongly Agree,2. Dissatisfied,2. Dissatisfied,3. Neutral,2. Dissatisfied,4. Satisfied,4. Satisfied,2. Dissatisfied,5. Highly Satisfied,3. Neutral,3. Neutral,3. Neutral,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,3. Neutral,3. Neutral,Fairness and women related matters,No,Laptop,3. Neutral,3. Neutral,3. Neutral,3. Neutral,2. Dissatisfied,2. Dissatisfied,3. Neutral,3. Neutral,2. Dissatisfied,No,,3. Neutral,2. Dissatisfied,4. Satisfied,2. Dissatisfied,3. Neutral,2. Dissatisfied,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,No,Salary & benefits,3. Neither Agree nor Disagree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,4. Agree,3. Neither Agree nor Disagree,None,No,,Micromanagement ,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,4. Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,4. Agree,3. Neither Agree nor Disagree,5
22,6/5/25 19:04:17,6/5/25 19:16:24,anonymous,,,Male ,40-50,Between 5 and 10 years,5. Strongly Agree,5. Strongly Agree,3. Neutral,3. Neutral,2. Dissatisfied,2. Dissatisfied,5. Highly Satisfied,4. Satisfied,3. Neutral,5. Highly Satisfied,2. Dissatisfied,3. Neutral,3. Neutral,2. Dissatisfied,2. Dissatisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,3. Neutral,Fairness in distribution of capacity building opportunities. Let HODs work together without squabbles. CEO having to intervene in situations HODs can resolve is not a good picture.,Yes,,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,2. Dissatisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,1. Highly Dissatisfied,Yes,"CRM, ",5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,3. Neutral,3. Neutral,5. Highly satisfied,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Yes,Better pay and training opportunities. Opportunity for growth,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,"Leadership, AI ",No,,Inadequate use of AI,5. Always,5. Always,4. Often,5. Always,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,10
23,6/6/25 13:23:55,6/6/25 13:34:32,anonymous,,,Female,40-50,More than 10 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,Promotion criteria; recruitment and talent accusation needs to be fair,Yes,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,Yes,lack of laptops,5. Highly satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,Yes,Job security,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,Leadership skills,No,,Lack of timely facilitation by support departments,4. Often,5. Always,4. Often,4. Often,4. Often,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,9
24,6/9/25 9:08:55,6/9/25 9:20:20,anonymous,,,Male ,40-50,Between 5 and 10 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,cohesion and inclusivity and communication,Yes,,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,3. Neutral,4. Satisfied,5. Highly Satisfied,4. Satisfied,3. Neutral,No,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,Yes,good working environment ,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,"Supervision of schemes, legal compliance in the pension industry",Yes,i need more knowledge relating to schemes,the external stakeholder engagement ,5. Always,5. Always,4. Often,5. Always,4. Often,5. Always,Yes,,,5. Strongly Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,3. Neither Agree nor Disagree,4. Agree,10
25,6/9/25 9:15:43,6/9/25 9:27:46,anonymous,,,Male ,30-39,Less than 5 years,4. Agree,4. Agree,1. Highly Dissatisfied,4. Satisfied,4. Satisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,3. Neutral,2. Dissatisfied,5. Highly Satisfied,1. Highly Dissatisfied,"Highly competent staff are consistently overloaded with work yet receive minimal recognition or opportunities for advancement. Meanwhile, individuals who contribute the bare minimum are often rewarded with promotions, placements on lucrative committees, and salary increments which is quite demotivating.",Yes,,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,No,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Agree,1. Strongly Disagree,3. Neither Agree nor Disagree,2. Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,No,,4. Agree,5. Strongly Agree,1. Strongly Disagree,2. Disagree,1. Strongly Disagree,1. Strongly Disagree,Advanced AI  skills ,No,,,3. Sometimes,4. Often,4. Often,2. Rarely,2. Rarely,2. Rarely,Yes,,,4. Agree,3. Neither Agree nor Disagree,4. Agree,3. Neither Agree nor Disagree,2. Disagree,5. Strongly Agree,1. Strongly Disagree,5
26,6/9/25 9:22:38,6/9/25 9:29:04,anonymous,,,Female,,,4. Agree,4. Agree,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,None,Yes,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,No,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,Yes,,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,x,No,,,4. Often,4. Often,4. Often,4. Often,4. Often,4. Often,Yes,,,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,7
27,6/9/25 9:24:29,6/9/25 9:34:05,anonymous,,,Female,30-39,Less than 5 years,5. Strongly Agree,5. Strongly Agree,3. Neutral,2. Dissatisfied,2. Dissatisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,1. Highly Dissatisfied,4. Satisfied,1. Highly Dissatisfied,3. Neutral,1. Highly Dissatisfied,1. Highly Dissatisfied,2. Dissatisfied,2. Dissatisfied,2. Dissatisfied,4. Satisfied,4. Satisfied,N/A,Yes,,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,No,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,4. Agree,3. Neither Agree nor Disagree,4. Agree,Yes,Compensation,4. Agree,4. Agree,4. Agree,2. Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,N/A,No,,N/A,4. Often,4. Often,4. Often,4. Often,4. Often,4. Often,Yes,,,3. Neither Agree nor Disagree,4. Agree,2. Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,4. Agree,8
28,6/9/25 9:24:55,6/9/25 9:47:10,anonymous,,,Male ,51-60,Less than 5 years,5. Strongly Agree,5. Strongly Agree,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,Improve transport ,Yes,,1. Highly Dissatisfied,1. Highly Dissatisfied,2. Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,1. Highly Dissatisfied,No,,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,4. Satisfied,5. Highly satisfied,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Yes,Work environment ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Upskilling,Yes,ERP usage,Financial constraints ,5. Always,5. Always,5. Always,4. Often,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,10
29,6/9/25 9:38:24,6/9/25 9:47:14,anonymous,,,Male ,30-39,More than 10 years,5. Strongly Agree,5. Strongly Agree,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,staff welfare,Yes,,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,No,,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Yes,Mortgage.,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,More of artificial intelligent and Machine learning and how the Authority can leverage this to increase coverage/ create awareness on pension matters,No,,as listed on 15,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,6
30,6/9/25 9:22:24,6/9/25 9:48:06,anonymous,,,Female,,,5. Strongly Agree,5. Strongly Agree,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,3. Neutral,4. Satisfied,5. Highly Satisfied,Timely purchase and replacement of damaged machines,No,Laptop,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,No,,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,1. Highly dissatisfied,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,Yes,Working Environment,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,"Effective communication skills
Leadership Skills
",No,,n/a,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,8
31,6/9/25 9:46:09,6/9/25 9:50:28,anonymous,,,Male ,30-39,Less than 5 years,4. Agree,5. Strongly Agree,3. Neutral,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,3. Neutral,4. Satisfied,4. Satisfied,3. Neutral,Availing equal opportunities to all staff,No,Proper working laptops,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,2. Dissatisfied,3. Neutral,4. Satisfied,2. Dissatisfied,3. Neutral,2. Dissatisfied,Yes,Data sharing and collaborating facilities,3. Neutral,4. Satisfied,5. Highly satisfied,3. Neutral,4. Satisfied,1. Highly dissatisfied,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,Yes,Availability of opportunities for skill development,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,"1. Data management and presentation
2. Artificial intelligence and its applications in the industry
3. Report preparation",No,,,4. Often,5. Always,4. Often,5. Always,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,5. Strongly Agree,8
32,6/9/25 9:51:17,6/9/25 10:06:01,anonymous,,,Male ,30-39,Less than 5 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,Training Opportunities should be equally distributed,Yes,,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,No,,4. Satisfied,4. Satisfied,5. Highly satisfied,3. Neutral,4. Satisfied,4. Satisfied,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,Yes,Remuneration and Compensation ,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,Management and Leadership Skills,No,,Each and every staff especially those with less than 5 years in the Authority should be assigned a mentor,5. Always,5. Always,4. Often,4. Often,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,2. Disagree,4. Agree,4. Agree,9
33,6/9/25 9:49:36,6/9/25 10:24:16,anonymous,,,Male ,40-50,More than 10 years,5. Strongly Agree,5. Strongly Agree,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,N/A,Yes,,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,No,,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Yes,"Medical cover, morgage,car loans ",5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,N/A,No,,N/A,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,10
34,6/9/25 10:27:06,6/9/25 10:28:26,anonymous,,,Male ,20-29 ,Less than 5 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,Capacity building,Yes,,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,3. Neutral,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,No,,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,4. Satisfied,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,Yes,Increased pension coverage in the country will motivate me more.,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,Leadership skills ,No,,,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,No,Time frame and also not yet attained the required qualifications spelt out in the HR Manual,1 Very Confident ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,10
35,6/9/25 10:26:15,6/9/25 10:41:28,anonymous,,,Male ,20-29 ,Less than 5 years,5. Strongly Agree,4. Agree,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,"Increased training in data analytics, policy analysis and modeling relating to pension industry",Yes,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,No,,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,4. Satisfied,5. Highly satisfied,3. Neutral,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,Yes,Inclusivity and professionalism nature of RBA ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Forecasting and modelling skills related to pension industry,No,,None,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,10
36,6/9/25 10:40:33,6/9/25 11:00:34,anonymous,,,Male ,51-60,More than 10 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,Benefits and welfare ,Yes,,5. Highly Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,,4. Satisfied,4. Satisfied,4. Satisfied,,No,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,Yes,Benefits like loans ,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,None,No,,Supervisor should  well trained to listen  the options of others ,5. Always,5. Always,5. Always,5. Always,5. Always,4. Often,No,Positions are  few,4 Not Very Confident ,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,4. Agree,4. Agree,9
